hips_x,hips_y,hips_z,Spine_x,Spine_y,Spine_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,leftShoulder_x,leftShoulder_y,leftShoulder_z,RightShoulder_x,RightShoulder_y,RightShoulder_z,leftArm_x,leftArm_y,leftArm_z,leftForeArm_x,leftForeArm_y,leftForeArm_z,leftHand_x,leftHand_y,leftHand_z,RightArm_x,RightArm_y,RightArm_z,RightArm_x,RightForeArm_y,RightForeArm_z,RightHand_x,RightHand_y,RightHand_z,leftUpLeg_x,leftUpLeg_y,leftUpLeg_z,leftLeg_x,leftLeg_y,leftLeg_z,leftFoot_x,leftFoot_y,leftFoot_z,rightUpLeg_x,rightUpLeg_y,rightUpLeg_z,rightLeg_x,rightLeg_y,rightLeg_z,rightFoot_x,rightFoot_y,rightFoot_z,
359.6955,1.952261,4.526422,0.1830908,359.8424,178.6199,0.4222893,359.813,0.05189672,359.6328,358.6256,358.7697,-0.0003966846,0.5233901,90.0949,0.0003979986,359.8903,270.3773,294.359,125.1965,325.4323,358.4809,353.2786,333.3444,356.7934,356.6171,-0.001865027,283.7877,255.96,4.775083,283.7877,255.96,4.775083,353.9406,9.395204,356.8572,7.652895,85.03987,329.8952,355.1778,3.334737,51.65747,68.95393,98.62203,2.529172,350.9992,268.0324,5.752423,359.8308,0.2790965,349.8586,73.39115,272.01,2.589934,
0.01126429,2.437171,4.212481,0.1504976,359.7664,178.5943,0.3914568,359.7451,0.1111247,359.2385,358.2133,358.593,-5.680263E-05,0.6319556,90.01697,0.00150547,359.6927,270.5477,294.3263,125.9808,325.1972,359.1988,354.7277,337.349,355.5073,357.9439,359.3987,283.952,253.6875,8.906306,283.952,253.6875,8.906306,353.9379,9.373452,356.5566,7.160922,85.20582,327.1798,355.8368,3.095974,50.1576,70.7571,99.60731,4.241427,351.2034,268.1891,3.76976,359.8156,0.01725839,351.294,74.19118,271.4778,2.250238,
0.4133331,3.269762,3.847492,0.08514459,359.6004,178.5413,0.3708583,359.6912,0.1548515,358.9058,357.9211,358.5622,0.0005933193,0.7445113,89.91434,0.002407108,359.5934,270.6681,294.2369,126.6331,325.0798,359.9294,356.6974,341.7437,354.9304,359.8546,358.1955,284.1786,251.6995,12.83467,284.1786,251.6995,12.83467,353.9734,8.996322,356.2133,6.687475,85.22364,325.5565,356.504,2.747773,47.14008,72.35658,98.87558,4.168039,351.5854,268.4724,1.804045,359.7658,359.4773,352.8091,74.89708,269.9569,1.286089,
2.03359,6.641773,2.641459,359.7757,358.8342,178.3333,0.3521659,359.5581,0.1995426,358.2568,357.2433,358.6669,0.002420982,0.9150512,89.70144,0.003647881,359.5221,270.866,293.3548,127.563,326.4334,0.4642863,2.952791,355.4105,355.3136,5.981609,355.1509,285.5817,246.601,24.93118,285.5817,246.601,24.93118,353.8643,8.116822,354.9895,5.313545,85.00446,320.8423,358.6621,0.8205247,34.22697,77.55909,89.09717,356.8155,353.2393,269.4215,355.6374,359.7733,357.0471,357.6512,77.03008,262.8844,356.7442,
2.53999,7.684687,2.427917,359.6481,358.5464,178.1925,0.3622208,359.5402,0.1570414,358.406,357.1673,358.7169,0.001772381,0.8092995,89.75425,0.003074332,359.5876,270.8442,292.6764,126.5341,328.7332,0.2330675,3.843575,358.1108,355.8594,7.191577,355.6664,286.407,245.7568,28.34378,286.407,245.7568,28.34378,353.6934,8.518732,354.6169,5.161096,84.85506,319.612,359.3553,359.8466,29.41366,77.45906,83.02609,351.8311,353.9275,269.8021,353.7774,359.8527,356.1159,359.082,77.6983,260.1908,355.1094,
3.090049,8.795443,2.224787,359.5076,358.2355,178.0353,0.3737679,359.5224,0.1074467,358.5934,357.0938,358.7689,0.00111204,0.6833451,89.81969,0.002439351,359.6625,270.8159,291.9487,125.1829,331.4944,359.8721,4.698203,0.8736932,356.4525,8.439348,356.3465,287.3358,245.0912,31.82791,287.3358,245.0912,31.82791,353.5002,9.011904,354.2176,5.015193,84.69522,318.2994,359.9403,358.6741,24.18766,77.09508,76.65189,346.6555,354.6897,270.1944,351.7815,-0.002957259,355.1085,0.6143335,78.41089,257.0828,353.1571,
3.348661,9.486465,2.293813,359.3926,358.0068,177.8061,0.3629001,359.5133,0.01964289,358.9191,357.0493,358.7574,0.0005526851,0.5029837,89.88247,0.001976566,359.7163,270.7836,291.2042,123.152,335.5393,359.7297,4.719407,1.748893,356.4529,8.851339,357.846,288.2825,244.7964,34.59101,288.2825,244.7964,34.59101,353.2596,9.887739,353.9018,5.031337,84.69369,316.7063,0.2944226,357.8527,20.89696,75.14391,80.52336,351.5253,355.4189,270.7036,349.6909,0.1849283,354.3508,2.020797,79.21529,254.0927,351.2354,
3.547037,10.05987,2.390008,359.2904,357.8106,177.5907,0.3503009,359.5062,359.9355,359.2306,357.0125,358.7389,0.0002144039,0.3332218,89.9389,0.001600225,359.7623,270.7538,290.5906,121.0465,339.5338,359.6305,4.63635,2.308166,356.3812,9.118706,359.3027,289.1438,244.6717,36.9191,289.1438,244.6717,36.9191,353.0364,10.72769,353.6264,5.068943,84.70834,315.2311,0.5217223,357.1327,18.15725,73.08326,83.93653,355.8165,356.0915,271.1554,347.7976,0.3971153,353.701,3.271679,79.94404,251.1723,349.2702,
3.581898,10.48975,2.511398,359.2136,357.674,177.468,0.3157647,359.5001,359.8148,359.4654,356.9668,358.687,0.0001307074,0.1848421,89.94173,0.001451895,359.7777,270.7294,290.0742,119.0194,343.8717,359.6122,4.471029,2.421218,356.059,9.07944,0.6816955,289.9295,244.6484,38.65777,289.9295,244.6484,38.65777,352.8068,11.55759,353.317,5.107287,84.87035,313.5125,0.7813678,356.5454,17.7874,72.86074,87.59415,0.3609455,356.8275,271.6046,345.6103,0.6550415,353.1164,4.566562,80.69672,248.6651,347.6718,
3.527397,10.85755,2.648695,359.1482,357.5648,177.3914,0.2679552,359.4943,359.6694,359.6671,356.9145,358.6148,6.809512E-05,0.04257771,89.91542,0.001413236,359.7769,270.7068,289.6198,116.8917,348.622,359.6389,4.255066,2.295618,355.5888,8.862899,2.070495,290.7048,244.6905,40.12983,290.7048,244.6905,40.12983,352.5651,12.4139,352.9772,5.160105,85.11144,311.5953,1.120541,356.0251,18.69146,73.53732,92.28431,5.976056,357.6372,272.0468,343.1865,0.9678076,352.5504,5.929772,81.49059,246.1898,346.1143,
